id,program_name,program_type,match_level,confidence,evidence_url,last_verified,notes
1103,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3118,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3119,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3470,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3471,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3472,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3473,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3474,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
3475,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
4601,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
4602,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
5993,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6108,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6241,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6242,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6344,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6345,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6346,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6506,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6759,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
6875,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7078,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7285,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7286,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7287,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7288,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7289,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7290,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7291,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7292,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7293,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7294,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7295,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7296,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7297,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7492,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
7493,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
30586,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30624,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30650,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30664,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30682,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30698,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30731,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30736,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30752,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30753,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30779,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30783,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30785,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30800,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30820,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30909,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30939,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30955,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30970,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30997,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30998,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
30999,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31000,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31021,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31035,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31040,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31045,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31051,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31064,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
31083,Too Good To Go,surplus_marketplace,zip,medium,https://www.toogoodtogo.com/,2026-04-29,Public marketplace active in many US metro areas
55364,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55451,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55550,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55772,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55773,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55774,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55775,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55776,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55777,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
55935,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56275,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56539,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56540,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56541,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56542,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56543,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56544,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56802,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
56803,Flashfood,food_waste_discount,chain,medium,https://flashfood.com/,2026-04-29,Chain logo presence; verify by location page before promotion copy
